SongName                                           ,5FGuitar ,5FBass ,Drums ,EDrums ,5FKeys ,PKeys ,Vocals ,2PHarmony ,3PHarmony
"""106"""                                          ,       5 ,     4 ,    4 ,4      ,-1     ,-1    ,2      ,2         ,2
1nput This 2 Y0ur Spine                            ,       6 ,     4 ,    6 ,6      ,6      ,6     ,0      ,-1        ,-1
"""322"""                                          ,       4 ,     4 ,    5 ,-1     ,3      ,3     ,0      ,-1        ,-1
A Visitant (feat. Victor Borba)                    ,       3 ,     1 ,    5 ,-1     ,6      ,6     ,4      ,4         ,-1
About the Author                                   ,       3 ,     2 ,    2 ,-1     ,1      ,1     ,5      ,5         ,5
The Afterparty                                     ,       3 ,     1 ,    2 ,-1     ,2      ,3     ,3      ,3         ,3
Al Gore Rhythm                                     ,       5 ,     4 ,    5 ,-1     ,-1     ,-1    ,5      ,5         ,5
Alibi                                              ,       3 ,     3 ,    6 ,-1     ,0      ,0     ,4      ,4         ,4
All of a Sudden                                    ,       3 ,     3 ,    4 ,-1     ,2      ,3     ,1      ,1         ,-1
Allure                                             ,       5 ,     5 ,    6 ,-1     ,0      ,0     ,2      ,2         ,2
Avatar the Last Cakebender                         ,       4 ,     3 ,    5 ,-1     ,4      ,4     ,4      ,4         ,4
Avatara                                            ,       2 ,     2 ,    4 ,4      ,2      ,2     ,0      ,0         ,-1
Bathe in Blood                                     ,       6 ,     2 ,    6 ,-1     ,-1     ,-1    ,0      ,-1        ,-1
Bedroom Community                                  ,       3 ,     3 ,    3 ,3      ,5      ,5     ,3      ,3         ,3
Beverly                                            ,       2 ,     2 ,    2 ,-1     ,-1     ,-1    ,2      ,2         ,2
Blue (feat. Miori Celesta)                         ,       3 ,     5 ,    4 ,-1     ,5      ,5     ,5      ,5         ,5
Boom Slayer (feat. Scott Foster Harris)            ,       3 ,     3 ,    4 ,-1     ,2      ,2     ,3      ,3         ,-1
Bottleneck                                         ,       5 ,     5 ,    5 ,-1     ,-1     ,-1    ,3      ,3         ,-1
Buds                                               ,       2 ,     1 ,    2 ,-1     ,-1     ,-1    ,2      ,2         ,2
Butterflies                                        ,       3 ,     3 ,    4 ,4      ,-1     ,-1    ,1      ,1         ,1
Choked Up                                          ,       3 ,     1 ,    2 ,2      ,3      ,4     ,4      ,4         ,4
Circles                                            ,       3 ,     3 ,    3 ,-1     ,0      ,0     ,3      ,3         ,3
Cowboy Tanaka                                      ,       4 ,     3 ,    5 ,-1     ,5      ,5     ,4      ,4         ,4
Cruisin'                                           ,       5 ,     3 ,    4 ,-1     ,3      ,3     ,-1     ,-1        ,-1
Discipline                                         ,       3 ,     2 ,    2 ,2      ,2      ,2     ,3      ,3         ,3
Do                                                 ,       3 ,     4 ,    5 ,-1     ,4      ,4     ,6      ,6         ,-1
Don't Look!                                        ,       2 ,     3 ,    4 ,-1     ,6      ,6     ,1      ,1         ,1
Don't Spook the Owl                                ,       3 ,     3 ,    4 ,-1     ,-1     ,-1    ,4      ,4         ,4
Dreamweaver                                        ,       3 ,     3 ,    4 ,4      ,-1     ,-1    ,0      ,0         ,0
Duvet Thief                                        ,       2 ,     2 ,    4 ,-1     ,1      ,2     ,3      ,3         ,3
Eleven                                             ,       2 ,     2 ,    3 ,-1     ,0      ,0     ,2      ,2         ,2
Emperor Rising                                     ,       5 ,     5 ,    6 ,-1     ,-1     ,-1    ,4      ,4         ,4
Empires                                            ,       2 ,     1 ,    4 ,-1     ,4      ,4     ,4      ,4         ,4
Everybody Do the Flop                              ,       4 ,     3 ,    5 ,-1     ,4      ,4     ,5      ,5         ,5
Exeter                                             ,       3 ,     4 ,    4 ,-1     ,0      ,0     ,2      ,2         ,2
Fine                                               ,       4 ,     2 ,    4 ,4      ,2      ,2     ,4      ,4         ,4
Flight of the Bumblebee                            ,       6 ,     3 ,    6 ,-1     ,-1     ,-1    ,-1     ,-1        ,-1
Formless Collective                                ,       6 ,     5 ,    8 ,-1     ,-1     ,-1    ,0      ,0         ,0
Frank Scored a Video Game                          ,       6 ,     5 ,    5 ,-1     ,-1     ,-1    ,-1     ,-1        ,-1
Front Row Seats (To Watching Your World Burn)      ,       2 ,     2 ,    5 ,-1     ,1      ,1     ,3      ,3         ,3
The Game                                           ,       4 ,     2 ,    4 ,4      ,2      ,2     ,3      ,3         ,3
God Only Knows (feat. Kasane Teto)                 ,       5 ,     5 ,    5 ,-1     ,4      ,4     ,3      ,3         ,3
Guess I'll Never Know                              ,       1 ,     0 ,    3 ,-1     ,0      ,0     ,2      ,2         ,2
Half Measures                                      ,       0 ,     0 ,    1 ,-1     ,0      ,1     ,6      ,6         ,6
I Don't Wanna Talk                                 ,       3 ,     3 ,    3 ,-1     ,2      ,2     ,2      ,2         ,2
I Wish That I Could Fall (feat. GUMI)              ,       3 ,     5 ,    1 ,-1     ,5      ,5     ,5      ,5         ,5
I'm a Bug                                          ,       1 ,     1 ,    3 ,-1     ,5      ,5     ,2      ,2         ,2
Igowallah                                          ,       0 ,     2 ,    5 ,-1     ,0      ,0     ,4      ,4         ,4
In My Head                                         ,       1 ,     1 ,    2 ,-1     ,-1     ,-1    ,2      ,2         ,2
Is This What You Wanted                            ,       4 ,     1 ,    2 ,-1     ,2      ,2     ,5      ,5         ,5
It Kills Me                                        ,       2 ,     2 ,    4 ,-1     ,1      ,2     ,3      ,3         ,3
Jenny B                                            ,       7 ,     4 ,    2 ,2      ,-1     ,-1    ,5      ,-1        ,-1
"John, Take Me with You"                           ,       2 ,     2 ,    2 ,-1     ,-1     ,-1    ,2      ,2         ,2
Join the Club                                      ,       3 ,     2 ,    2 ,-1     ,3      ,3     ,3      ,3         ,3
Languish                                           ,       4 ,     3 ,    5 ,5      ,2      ,2     ,0      ,0         ,0
Long in the Tooth                                  ,       5 ,     3 ,    5 ,5      ,3      ,3     ,2      ,2         ,2
